Time_Sec,Raw_Force
0.0,11311
0.001,11235
0.001,11455
0.002,11029
0.002,10779
0.002,11217
0.003,12560
0.003,11334
0.003,10837
0.003,10165
0.036,10199
0.137,10827
0.236,11999
0.336,11118
0.436,11129
0.536,11272
0.636,11476
0.737,11152
0.837,10462
0.936,11029
1.036,11756
1.136,11567
1.236,11773
1.336,11641
1.436,11568
1.537,11306
1.637,11573
1.737,11802
1.837,11959
1.937,12072
2.036,11426
2.136,11929
2.237,11372
2.337,10401
2.437,11561
2.537,11431
2.637,11223
2.737,11386
2.837,11083
2.937,10777
3.037,10500
3.137,10320
3.237,10772
3.337,10550
3.437,11601
3.537,11751
3.637,11459
3.737,11509
3.837,11759
3.937,11673
4.037,10782
4.137,11097
4.237,11601
4.337,11729
4.437,12545
4.537,11821
4.637,11965
4.737,12540
4.837,12430
4.937,12570
5.037,11253
5.137,10317
5.237,10097
5.337,10592
5.437,10867
5.537,11439
5.637,11946
5.737,12711
5.837,11620
5.937,11065
6.037,11611
6.138,11002
6.237,11819
6.337,12137
6.438,12224
6.537,12350
6.638,11244
6.738,11328
6.837,11439
6.937,11965
7.038,12836
7.137,12205
7.238,11904
7.337,12072
7.437,12192
7.537,10846
7.637,11887
7.738,11201
7.838,11827
7.938,12615
8.038,11668
8.138,12048
8.238,11891
8.338,10829
8.438,9450
8.538,10771
8.638,10152
8.738,8212
8.838,8757
8.938,8429
9.038,7244
9.138,7674
9.238,8408
9.338,6642
9.438,6480
9.538,5987
9.638,6114
9.738,5883
9.838,6342
9.938,5834
10.038,6746
10.138,6015
10.238,5149
10.338,4245
10.438,5652
10.538,6487
10.638,7084
10.738,5768
10.839,5120
10.938,5197
11.038,5512
11.138,5273
11.238,5200
11.338,5069
11.438,4655
11.538,4572
11.638,4621
11.738,4267
11.838,5694
11.938,5960
12.038,6179
12.138,7821
12.239,8680
12.338,9355
12.438,12671
12.538,11895
12.638,11815
12.738,11006
12.838,11906
12.938,11669
13.038,11524
13.138,12122
13.238,12035
13.339,11610
13.438,11454
13.538,11123
13.638,12081
13.738,11945
13.838,11872
13.938,10469
14.039,10633
14.138,10026
14.239,11899
14.339,12801
14.439,12490
14.539,11222
14.639,10058
14.739,9252
14.839,1336
14.939,-1595
15.039,-4280
15.139,-9085
15.239,-13945
15.339,-17207
15.439,-20499
15.539,-22264
15.639,-23940
15.739,-24117
15.839,-25362
15.939,-25715
16.039,-23839
16.139,-22793
16.239,-22746
16.339,-24230
16.439,-25578
16.539,-27704
16.639,-26485
16.739,-25847
16.839,-26695
16.939,-29293
17.039,-30381
17.139,-28194
17.239,-13560
17.339,-7283
17.439,-422
17.539,4336
17.639,7227
17.739,9397
17.839,10673
17.939,10304
18.039,11059
18.139,11414
18.239,11519
18.339,10894
18.439,10397
18.539,12064
18.639,12729
18.739,12536
18.839,12061
18.939,11384
19.039,11410
19.139,10982
19.239,10459
19.339,11303
19.439,10607
19.54,10690
19.639,12014
19.739,11336
19.839,10791
19.939,10546
20.039,11824
20.139,11135
20.239,11775
20.339,11592
20.439,11105
20.539,11656
20.64,11467
20.739,10204
20.839,11622
20.939,10425
21.04,11299
21.139,11440
21.239,12266
21.339,12975
21.439,11026
21.539,11491
21.64,9848
21.739,11515
21.84,11750
21.939,10827
22.039,10807
22.14,12015
22.24,12125
22.339,11126
22.44,11347
22.54,11242
22.639,12876
22.74,13124
22.84,12495
22.94,11278
23.04,10940
23.14,11269
23.24,12402
23.34,11782
23.44,11976
23.54,11939
23.64,11252
23.74,10903
23.84,12106
23.94,10873
24.04,11516
24.14,12192
24.24,11364
24.34,11815
24.44,11601
24.54,11094
24.64,11291
24.74,12100
24.84,11953
24.94,12303
25.04,10737
25.14,11312
25.24,11688
25.34,11463
25.44,11798
25.54,12430
25.64,10629
25.74,12107
25.84,11651
25.94,11315
26.04,11964
26.14,11470
26.24,12521
26.34,12697
26.44,11557
26.54,10410
26.64,10783
26.74,10708
26.84,10087
26.94,10431
27.04,11251
27.14,11120
27.24,10793
27.34,10577
27.44,11457
27.54,11194
27.64,10012
27.74,9678
27.841,7420
27.94,3970
28.04,711
28.14,-7135
28.24,-10230
28.34,-14670
28.44,-20455
28.541,-26328
28.641,-30550
28.74,-17414
28.84,-6583
28.94,187
29.04,4999
29.14,8406
29.24,9203
29.341,10682
29.44,11515
29.54,11491
29.641,11663
29.74,11055
29.84,10976
29.94,9072
30.041,7086
30.14,4683
30.241,309
30.34,-5161
30.441,-11599
30.54,-25654
30.641,-31343
30.74,-34493
30.841,-37684
30.941,-37763
31.041,-34157
31.141,-11087
31.241,-1634
31.341,4384
31.441,8424
31.541,11222
31.641,12688
31.741,11951
31.841,10978
31.941,10530
32.041,10513
32.141,10354
32.241,11156
32.341,10788
32.441,11101
32.541,11973
32.641,11812
32.741,11675
32.841,11382
32.941,12634
33.041,11653
33.141,10705
33.241,11366
33.341,11195
33.441,11630
33.541,11405
33.641,11064
33.741,11509
33.841,11340
33.941,11752
34.041,10833
34.141,11909
34.241,11261
34.341,10961
34.441,11524
34.541,11167
34.641,10702
34.741,11032
34.841,10355
